id,name,pharmacy_name_main,description,region,address,latitude,longitude,contact_phone,pharmacy_tel,pharmacy_mob,all_phones,is_duty_24h,has_optika,has_optika_service,insurance_partners,image_url,thumb_image,gallery_images,gallery_count,google_maps_url,page_url
109,AZERİMED APTEK 3-cü mkr. S.C.Pişəvəri küç.,AZERİMED APTEK 3-cü mkr. S.C.Pişəvəri küç.,"AZERİMED APTEK 3-cü mkr. S.C.Pişəvəri küç., Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Bakı şəhəri Binəqədi rayonu,"Baki ş., Binəqədi r-nu, C.Pişəvəri küç., 3245-ci məhəllə",40.42,49.818,994125688525,994125688525,994554559065,*7700,0,0,0,,https://aptekonline.az//storage/PharmacyGalery/550_1.png,thumb_550_1.png,,0,"https://www.google.com/maps?q=40.42,49.818",https://aptekonline.az/pharmacies/109
13,ZƏFƏRAN XƏTAİ,ZƏFƏRAN XƏTAİ,"ZƏFƏRAN XƏTAİ, Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Bakı şəhəri Xətai rayonu,Bakı ş. Mehti Mehtizadə və Yusif Səfərov küç.nin kəsişməsi,40.38,49.864,994554558801,994554558801,994554558801,*7700,1,1,1,Xalq sığorta; Ata sığorta; Mega sığorta; Atəşgah sığorta; Qala sığorta; A-group,https://aptekonline.az//storage/PharmacyGalery/z_f_ran_x_ta__img.jpg,thumb_z_f_ran_x_ta__img.jpg,,0,"https://www.google.com/maps?q=40.38,49.864",https://aptekonline.az/pharmacies/13
8,KANON M.Mirqasımov küç 2,KANON M.Mirqasımov küç 2,"KANON M.Mirqasımov küç 2, Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Bakı şəhəri Nəsimi rayonu,Bakı ş. Nəsimi r-nu A.Mirqasımov 2,40.394,49.835,994124494664,994124494664,994554558539,*7700,0,1,1,Xalq sığorta; Ata sığorta; Mega sığorta; Paşa sığorta; Qala sığorta; A-group,https://aptekonline.az//storage/PharmacyGalery/kanon_m_mirqas_mov_k_2_img.png,thumb_100_1.png,,0,"https://www.google.com/maps?q=40.394,49.835",https://aptekonline.az/pharmacies/8
105,ZƏFƏRAN Əhməd Rəcəbli 1/11 Sağlam Ailənin yanı,ZƏFƏRAN Əhməd Rəcəbli 1/11 Sağlam Ailənin yanı,"ZƏFƏRAN Əhməd Rəcəbli 1/11 Sağlam Ailənin yanı, Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Bakı şəhəri Nərimanov rayonu,"Bakı ş, Nərimanov r-nu, Maqsud Əlizadə və Əhməd Rəcəbli küçələrinin kəsişməsi",40.409,49.863,994554555820,994554555820,994554555820,*7700,1,1,1,Xalq sığorta; Paşa sığorta; Qala sığorta,https://aptekonline.az//storage/PharmacyGalery/z_f_ran_hm_d_r_c_bli_1_11_sa_lam_ail_nin_yan__img.jpg,thumb_z_f_ran_hm_d_r_c_bli_1_11_sa_lam_ail_nin_yan__img.jpg,,0,"https://www.google.com/maps?q=40.409,49.863",https://aptekonline.az/pharmacies/105
9,ZƏFƏRAN H.Əliyev pr. (Ağdam),ZƏFƏRAN H.Əliyev pr. (Ağdam),"ZƏFƏRAN H.Əliyev pr. (Ağdam), Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Ağdam,Ağdam r-nu Quzanlı qəs. II Yüzbaşlı,40.157,47.162,994263250659,994263250659,994554558162,*7700,0,0,0,Xalq sığorta; Ata sığorta; Mega sığorta,https://aptekonline.az//storage/PharmacyGalery/aU6dPnG6XNR0sA0bvPtWxgCFABUGShoDrqsImlg5.png,thumb_aU6dPnG6XNR0sA0bvPtWxgCFABUGShoDrqsImlg5.png,,0,"https://www.google.com/maps?q=40.157,47.162",https://aptekonline.az/pharmacies/9
15,ZƏFƏRAN Z.Qasımov pr. Sahil qəs.,ZƏFƏRAN Z.Qasımov pr. Sahil qəs.,"ZƏFƏRAN Z.Qasımov pr. Sahil qəs., Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Bakı şəhəri Qaradağ rayonu,Bakı ş. Sahil qəs. Emin Quliyev küç.  Ev A mən 11-n yax,40.225,49.577,994124466433,994124466433,994554558167,*7700,0,0,0,Xalq sığorta; Ata sığorta; Mega sığorta; Paşa sığorta; Atəşgah sığorta; Qala sığorta,https://aptekonline.az//storage/PharmacyGalery/625_1.png,thumb_625_1.png,,0,"https://www.google.com/maps?q=40.225,49.577",https://aptekonline.az/pharmacies/15
19,KANON Ş.Məmmədova küç 6E,KANON Ş.Məmmədova küç 6E,"KANON Ş.Məmmədova küç 6E, Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Bakı şəhəri Binəqədi rayonu,Bakı ş. Binəqədi r-nu Ş.Məmmədova 6 E,40.421,49.847,994125626116,994125626116,994554558546,*7700,1,1,1,Xalq sığorta; Ata sığorta; Mega sığorta; Qala sığorta; A-group,https://aptekonline.az//storage/PharmacyGalery/110_1.png,thumb_110_1.png,,0,"https://www.google.com/maps?q=40.421,49.847",https://aptekonline.az/pharmacies/19
14,ZƏFƏRAN M.Seyidov küç. Sahil qəs.,ZƏFƏRAN M.Seyidov küç. Sahil qəs.,"ZƏFƏRAN M.Seyidov küç. Sahil qəs., Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Bakı şəhəri Qaradağ rayonu,Bakı ş. Sahil qəs. Məhərrəm Seyidov küç.,40.23,49.582,994124469799,994124469799,994554559093,*7700,0,0,0,Xalq sığorta; Ata sığorta; Mega sığorta; Paşa sığorta; Atəşgah sığorta; Qala sığorta; A-group,https://aptekonline.az//storage/PharmacyGalery/615_1.png,thumb_615_1.png,,0,"https://www.google.com/maps?q=40.23,49.582",https://aptekonline.az/pharmacies/14
21,KANON 7-Cİ MKR S.S.Axundov,KANON 7-Cİ MKR S.S.Axundov,"KANON 7-Cİ MKR S.S.Axundov, Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Bakı şəhəri Binəqədi rayonu,Bakı ş. Binəqədi r-nu Süleyman Sani Axundov küç. ev ½ 7 mkr,40.426,49.848,994125617409,994125617409,994554558124,*7700,None,0,0,,https://aptekonline.az//storage/PharmacyGalery/kanon_7_c_mkr_s_s_axundov_img_1728301250.jpg,thumb_kanon_7_c_mkr_s_s_axundov_img_1728301250.jpg,,0,"https://www.google.com/maps?q=40.426,49.848",https://aptekonline.az/pharmacies/21
20,KANON 9-CU MKR Mir Cəlal küç.,KANON 9-CU MKR Mir Cəlal küç.,"KANON 9-CU MKR Mir Cəlal küç., Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Bakı şəhəri Binəqədi rayonu,Bakı ş. 9 mkr Mir Cəlal küç. ev 11 m 56,40.414,49.805,994124304317,994124304317,994554558473,*7700,None,0,0,,https://aptekonline.az//storage/PharmacyGalery/kanon_9_cu_mkr_mir_c_lal_k__img_1728301553.jpg,thumb_210_1.png,,0,"https://www.google.com/maps?q=40.414,49.805",https://aptekonline.az/pharmacies/20
